obj_ID,alpha,delta,u,g,r,i,z,run_ID,rerun_ID,cam_col,field_ID,spec_obj_ID,class,redshift,plate,MJD,fiber_ID
1.23766E+18,213.1635471,57.12879401,19.51442,19.65477,19.52003,19.38459,19.38385,3225,301,4,50,7.65965E+18,QSO,1.387801,6803,56402,558
1.23767E+18,189.0275973,32.65174129,25.59192,20.65455,19.0036,18.35878,17.95515,4599,301,4,124,7.29823E+18,GALAXY,0.3222775,6482,56358,536
1.23766E+18,132.3491242,54.9078333,23.28531,20.94033,19.62684,18.90887,18.57924,3600,301,2,19,8.19224E+18,STAR,0.000166914,7276,57061,703
1.23766E+18,233.2983695,34.8273881,24.63465,22.14582,20.46511,20.69813,22.7794,3723,301,1,67,1.20945E+19,STAR,-7.77E-05,10742,58198,376
1.23767E+18,227.5706394,57.60217189,19.5964,19.60486,19.62648,19.39641,19.23944,6162,301,3,26,7.65071E+18,QSO,1.953817,6795,56425,786
1.23765E+18,162.5089457,61.52659467,21.22942,20.67533,20.24685,19.96903,19.64799,1896,301,6,97,7.98962E+18,STAR,-0.00096729,7096,56683,850
1.23766E+18,133.0781126,7.3064205,19.93642,18.49174,17.93963,17.73685,17.64645,3630,301,2,111,2.62575E+18,STAR,-3.81E-05,2332,54149,561
1.23766E+18,354.1370754,0.807865334,25.63953,23.4938,20.73825,19.59318,19.12951,4188,301,5,71,4.74254E+18,GALAXY,0.6450398,4212,55447,919
1.23767E+18,181.0351005,35.31896444,21.93708,21.87654,21.30859,20.85524,20.54641,4552,301,4,79,1.1535E+19,QSO,1.475272,10245,58161,618
1.23767E+18,188.3151977,35.3411539,19.3009,17.45881,16.68562,16.37182,16.18636,4552,301,4,119,3.82255E+18,STAR,-0.000118809,3395,55004,431
1.23765E+18,148.2405429,59.35566724,18.69198,17.75772,17.55702,17.51036,17.54147,1331,301,3,268,9.22586E+18,STAR,9.94E-05,8194,57401,842
1.23765E+18,146.8889726,58.89875198,23.13267,20.4099,20.26897,20.31053,20.31324,1331,301,3,263,6.43474E+18,QSO,3.13432,5715,56657,824
1.23767E+18,257.9602474,63.27666016,21.82122,19.24071,17.89815,17.31287,16.97027,6122,301,2,129,3.96393E+17,STAR,1.07E-05,352,51694,277
1.23768E+18,5.657496468,25.84889719,25.43593,21.2187,19.64516,18.81176,18.28046,7708,301,6,239,7.07E+18,GALAXY,0.5406802,6279,56243,917
1.23767E+18,179.8877846,16.79072229,24.19327,21.50929,20.71996,20.48063,20.30009,5360,301,2,222,6.61019E+18,QSO,3.480173,5871,56041,108
1.23766E+18,141.4895368,36.42708316,21.12094,19.56187,18.60722,18.23803,17.86879,3606,301,4,120,9.97777E+18,GALAXY,0.1108942,8862,57461,179
1.23766E+18,206.6383791,44.74439707,21.22932,20.42039,20.52386,20.43661,20.08306,3699,301,2,123,7.46252E+18,QSO,2.527971,6628,56366,196
1.23767E+18,263.3650188,33.57689604,20.29037,18.18194,17.06072,16.43199,15.99023,5327,301,4,81,5.62838E+18,GALAXY,0.1477189,4999,55721,27
1.23767E+18,232.3586513,13.58084454,22.19751,21.82215,20.89333,19.94121,19.6061,5317,301,3,59,5.508E+18,QSO,0.5126521,4892,55738,365
1.23767E+18,244.2913359,10.30332983,19.52472,18.17562,17.39784,16.92937,16.71541,5317,301,3,140,2.84752E+18,QSO,0.1471375,2529,54585,423
1.23766E+18,255.0178284,32.65042924,19.89156,17.99262,17.02496,16.58324,16.25554,2328,301,3,112,1.09555E+18,GALAXY,0.1003464,973,52426,187
1.23766E+18,144.0164197,31.93330501,19.10642,17.76402,17.15476,16.80832,16.57385,4335,301,3,224,2.18767E+18,GALAXY,0.07622299,1943,53386,162
1.23766E+18,259.8859541,25.86944692,20.24807,18.64111,17.69586,17.26789,16.94414,2328,301,3,166,1.10229E+18,GALAXY,0.1584395,979,52427,127
1.23766E+18,214.1966425,51.08833115,25.45197,22.24851,20.90684,19.98705,19.63922,3180,301,3,70,7.59104E+18,GALAXY,0.5160556,6742,56415,805
1.23765E+18,216.0720574,0.338730654,22.01225,21.58024,20.01167,19.17939,18.68746,756,301,4,670,4.53877E+18,GALAXY,0.5599196,4031,55604,959
1.23766E+18,136.7358888,33.15375146,25.622,22.78715,21.21609,19.93698,19.44975,4516,301,1,81,6.54374E+18,GALAXY,0.6231611,5812,56354,21
1.23768E+18,18.17990043,1.324502335,21.83591,20.5792,20.33561,19.88124,19.70698,7717,301,1,451,8.84846E+18,GALAXY,0.1855491,7859,57282,55
1.23768E+18,6.502678449,34.11305608,25.41515,25.08117,21.98061,20.76587,19.935,7210,301,5,38,8.71786E+18,GALAXY,0.6926537,7743,58107,47
1.23766E+18,147.3685187,34.34064379,22.38691,21.72776,19.9807,18.99967,18.69195,4469,301,5,246,6.52821E+18,GALAXY,0.5996717,5798,56326,899
1.23766E+18,22.93264896,0.61066938,24.57929,22.30892,21.04021,20.43383,20.13331,4263,301,5,269,7.8489E+17,STAR,5.51E-05,697,52226,502
1.23768E+18,16.51177665,-4.511525481,24.43414,23.72679,23.48032,22.82177,21.54552,7865,301,4,25,1.05114E+19,GALAXY,0.2763542,9336,57723,95
1.23766E+18,190.0447287,46.70347082,20.28002,20.16745,20.05624,19.7119,19.76858,3699,301,2,44,8.3531E+18,QSO,1.852425,7419,56811,168
1.23766E+18,194.7385299,46.36436497,20.23335,19.64506,19.55843,19.69431,19.72302,3699,301,2,66,7.45141E+18,QSO,0.8606145,6618,56401,730
1.23766E+18,195.8834573,46.20648169,22.73952,21.66209,21.59989,21.33469,20.68567,3699,301,2,72,7.4581E+18,QSO,2.591988,6624,56385,488
1.23766E+18,211.1107642,43.59543591,18.98923,18.11316,17.76312,17.62626,17.56325,3699,301,2,146,9.57369E+18,STAR,-0.000440525,8503,57519,576
